idPot,idAccession,LifeCycleDuration,Final_rosetteDM,FruitNumber,LogisticCoeff_A,LogisticCoeff_B,LogisticCoeff_tinf,Minf,GRinf,RGRinf
647,6961,35,74.5,120,74.5,3.941734913,19.23265285,6.532252143,4.725076753,126.8476981
648,9577,96,2178.11,NA,2178.11,NA,NA,NA,139.6999963,128.2763463
65,9553,80,1096.95,86,1096.95,5.080915715,37.42013682,4.948456172,53.97403054,98.40745803
650,9931,45,96.53,230,96.53,3.040226325,19.01597357,4.730571748,7.937731412,164.4614402
652,9620,56,1103.96,107,1103.96,3.605216752,29.54569514,4.858572981,76.55295616,138.6879165
653,7111,61,411.71,140,411.71,4.727167892,31.46739333,4.342437434,21.77360787,105.7715764
654,9576,101,2588.85,46,2588.85,5.144117179,42.31068866,4.835596278,125.8160492,97.19840792
655,10002,45,132.2,184,132.2,3.865307896,24.07864982,3.374176286,8.550418462,129.3558012
656,9395,115,1638.55,36,1638.55,5.618241538,44.95797233,3.245785742,72.91204859,88.99581776
657,9925,58,491.35,135,491.35,2.882705349,24.08046542,3.688278192,42.61188194,173.4481813
658,9785,61,282.23,187,282.23,5.403768495,31.17228429,5.501268082,13.05709156,92.52802011
659,7387,44,161.1,159,161.1,3.469889024,22.00417669,4.911293645,11.60699945,144.0968275
66,9625,62,266.09,192,266.09,3.446272784,25.38697847,3.027012517,19.30273782,145.0842784
660,9659,56,285.43,269,285.43,4.145148236,27.84677521,3.800494245,17.21470402,120.622948
661,9574,63,1026.15,119,1026.15,3.833727961,31.67916127,3.579501709,66.91593734,130.4213562
662,9716,64,1279.63,118,1279.63,3.82389319,30.09627927,6.643712228,83.66015579,130.7567903
663,6940,46,296.72,107,296.72,3.618794392,24.86462451,4.801161856,20.49853956,138.1675624
665,7346,50,445.52,143,445.52,3.930039872,26.08770533,7.309516893,28.34067939,127.2251723
666,6040,67,599.48,255,599.48,4.46461744,31.7844919,4.522775682,33.56838565,111.9916783
667,9968,43,230.91,197,230.91,3.553986719,22.67515607,6.345227096,16.24302637,140.6870761
668,9555,67,521.79,148,521.79,5.094618601,32.56023519,6.154308356,25.60495892,98.14277362
669,9655,47,443.93,197,443.93,2.141375171,20.30798168,3.574629389,51.82767667,233.4948152
67,9997,60,338.32,174,338.32,5.188567461,33.02945554,3.95012807,16.30122392,96.36571245
670,9537,40,94.99,171,94.99,1.254980072,13.43790216,5.764720283,18.92261123,398.4127009
671,7010,59,930.69,127,930.69,3.866929751,30.31737136,4.838374819,60.16982852,129.3015473
672,9814,54,268.46,193,268.46,4.515621262,26.59962915,6.630291955,14.86284967,110.7267353
673,8231,77,1497.55,41,1497.55,5.706999227,39.41256191,8.602515624,65.60146324,87.61171679
674,5165,61,688.43,123,688.43,4.51039295,32.14590427,5.038436087,38.15798355,110.8550864
675,6911,35,51.12,107,51.12,4.424354134,17.99735231,7.204415926,2.888557202,113.0108452
676,9784,50,360.62,246,360.62,3.431555352,25.79150053,3.582254051,26.27234323,145.7065234
678,6243,48,342.67,234,342.67,3.978156632,24.9523463,7.80767877,21.53447135,125.6863533
