Genotype table stem mean_rank Seed Long_Stamens Short_Stamens Petal_Area Petal_Length Petal_Width Sepal_Area Sepal_Length Sepal_Width Leaf_Area Leaf_Length Leaf_Width j.semis j.transplantation j.fleur1 j.recolte j.death flowering_time life_span
1061 1 principal 17 53.4166119105048 2.68518953684141 2.20560089156798 2.74358212379065 3.50799487793541 1.42349101276701 1.41012582750223 2.17919507721 0.846543797680894 54.1480827370636 14.8754692828385 7.14978229757693 371 407 471 477 NA 100 NA
1062 3 unknown 14.3417265892009 55.1654392819131 2.68406798904472 2.58132164990652 2.16865025235304 3.34082868692702 1.18840852991845 1.35835725432197 2.02301439760541 0.878930213020326 45.0336201158814 11.6929459897648 6.70593702041046 371 407 471 482 NA 100 NA
1066 3 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 69.8946201158814 15.1769459897648 8.00793702041046 371 407 496 NA 503 125 132
1070 3 principal 12 57.0527953579045 2.9777767230172 2.44687702627437 3.50844694099659 4.10657174001377 1.49085690575806 1.36772826982233 2.21288283234203 0.838152559976579 15.4364662115507 6.87833457715015 3.78300340998626 371 407 465 471 NA 94 NA
1158 3 principal 12 55.0527953579045 2.74636005635053 2.14537702627437 2.48544694099659 3.64382174001377 1.30035690575806 1.45197826982233 2.34813283234203 0.828152559976579 22.3924662115507 8.56833457715015 4.62500340998626 371 408 485 491 NA 114 NA
1166 1 principal 17 NA NA NA NA NA NA NA NA NA 48.0540827370636 11.7154692828385 7.03678229757693 371 407 490 498 NA 119 NA
1254 1 principal 11 55.4903461491647 2.85319915005483 2.40392557329334 2.79720576501248 3.90404637961588 1.24551480040652 1.2565349128686 2.10621987595673 0.789311776701881 29.7382650555014 10.3208512963234 5.49334954145939 370 408 496 505 NA 126 NA
1257 1 principal 13 NA NA NA NA NA NA NA NA NA 55.7085376160221 15.3487239584951 7.39949379349857 370 407 461 468 NA 91 NA
1313 1 principal 11 51.4903461491647 2.35153248338816 2.16759223996001 2.22320576501248 3.36679637961588 1.27951480040652 1.1892849128686 2.06171987595673 0.725061776701881 49.3832650555014 14.9728512963234 6.42934954145939 371 407 484 489 NA 113 NA
1829 1 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 38.6190552400925 12.5748990400238 6.08335527790317 370 408 496 NA 503 126 133
1853 2 principal 13 65.5719607609863 3.05169376852962 2.70536428266477 1.65561483168766 3.37224865698016 0.91194402243487 1.26509669119586 2.07447944518245 0.786279992427527 62.2085528351693 17.4241267772155 7.39018218717727 370 408 470 477 NA 100 NA
1872 3 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 40.9746201158814 13.9869459897648 5.94293702041046 370 408 503 NA 503 133 133
1890 3 principal 14 55.3615506116845 2.69185685194606 2.11526879903258 1.32282239392265 2.89305457278694 0.851682309878219 0.791841908033547 1.70487456609312 0.627896566969583 41.5837387720714 12.5692072393219 6.29014766202544 370 407 456 462 NA 86 NA
1925 1 principal 15 59.1078566567248 2.99644274124588 2.46220911880977 2.15870667086459 3.47951204516224 1.18416560864684 1.18226218929102 2.19045334345891 0.705299790687889 46.7928101765429 14.9735966206668 6.19163804553775 370 408 461 468 NA 91 NA
