NewLongitude	NewLatitude
10.401689	43.722839
10.17777778	44.17083333
10.7684367	56.2810952
10.579186	57.725004
10.59305556	51.79166667
11.200737	46.688517
11.08	49.45
12.127128	60.449007
11.332726	43.311674
12.004136	60.187622
11.28256199	63.88136742
11.3202	51.3228
12.4580151	47.0034037
11.576659	48.136522
12.3525	55.5988
12.117355	65.475647
11.52238353	58.97496348
11.915099	57.587583
11.950781	53.449029
12.092922	66.502892
12.29592	49.074229
12.4	65.133333
12.4833	42.1167
12.581299	60.847963
13.3092	55.8378
12.552	41.837
13.20015	65.811202
12.563611	50.0575
13.014274	48.72824
13.232	52.612
13.361267	38.11569
13.39379	51.19755
13.4268	66.7902
13.543348	56.80817
13.609633	68.146501
13.6332	54.5159
13.716926	45.70684
13.75	46.59
13.757	51.114
13.780632	47.83061
13.887923	40.72845
14.12	55.76
14.560248	50.00177
14.0255928	37.87537846
14.05234	45.653863
14.389554	67.274611
14.472042	44.531581
14.536415	59.328673
14.797785	68.239995
14.778748	55.05414
14.995606	37.724945
15.000321	37.699784
15.02096	67.926644
15.053704	57.059921
15.88348	59.406943
15.8765	47.6709
15.264444	50.483612
15.4908263	50.2415017
15.5036	44.9145
15.527549	67.408125
16.2	58.9167
15.8127	56.4606
15.985892	60.277545
16.435802	49.333515
17.010149	58.255809
16.365526	48.223265
16.458555	56.581203
17.112	59.7302
16.61361111	45.95777777
17.520484	48.882866
17.6	59.85
17.871	50.577
18.085352	51.767278
18.3447	62.8714
18.816932	59.983387
19.282	33.399
19.375	-34.125
19.71	52.55
19.867731	50.008712
19.862898	60.319424
20.85	41.76
20.160275	54.933392
20.478085	53.7802
20.909191	40.080575
20.9571	50.9409
21.06027778	55.42055556
21.18277778	44.94444444
21.188686	62.784588
21.223951	60.688798
21.243619	40.786015
22.259231	60.449325
21.59444444	43.40916667
21.611283	49.642538
21.63	37.63833333
21.827118	32.782879
21.851131	45.087875
21.946389	41.156943
21.969309	51.416443
22.212407	60.245156
22.29458	40.010945
22.37666667	38.55833333
22.591947	58.923955
22.69157	60.4868
23.07527778	37.59638889
22.810199	48.577598
22.852968	61.608036
23.020936	40.635365
23.136071	50.893898
23.197	56.535
23.2018	59.842
23.54833333	41.59555556
23.3	42.8
23.688652	38.178255
23.774983	44.331118
23.81765	38.08017
23.846189	60.199252
23.881275	55.169438
23.885604	60.392769
23.902881	35.294945
23.938219	70.96719
23.9684189	46.6742321
24.0400185	46.1236975
24.93956566	42.13101226
24.230471	12.94868
24.244594	40.256594
24.39170837	36.70090698
24.722	57.513
25.0492	-31.3931
25.108	61.193
25.28	54.69
25.563745	64.999696
25.725	41.5417
26.01	48.42
26.06	52.11
26.080822	37.600968
26.23	39.94
26.349884	41.748433
26.73	58.38
26.6	48.7
26.808007	37.805694
27.237518	37.688235
27.3331	56.5099
27.3756	40.8627
27.6	53.9
27.579	46.92
27.6	49.4
27.992164	58.961235
27.778261	64.221992
27.782066	40.462766
27.896638	43.158868
27.9	56.4
27.92	37.31
28.11	61.762
28.148391	37.88217
28.5	59.4
28.568911	60.625186
28.76653	59.0206
29.8905	56.9802
28.916667	47
29.0615	40.8827
29.1298	40.1037
29.22	52.03
29.85	58.74
29.3244	50.3553
29.4	48.8
29.43333333	-1.483333333
29.51	60.41
30	47.7
30	59.5
30.0522	54.5932
30.613912	60.859139
30.153701	56.82642
30.22	48.77
30.3314	53.9007
30.4942	50.3645
30.51	36.68
30.72	46.48
31.07	40.04
31.2	51.5
31.3	58.5
32.2	60
31.45	50.09
31.462858	36.790081
31.792	40.632
31.995277	46.97234
32.1	54.8
32.2623	48.5079
32.34	52.91
32.368561	62.088997
33.49	46.81
33.088099	34.921815
32.990556	63.155869
33	61
33.167576	49.786711
33.2	58
33.4027	54.7842
33.5	59.7
33.567	50.98
34.3021	40.8193
34.576419	60.967866
33.889664	35.088123
34.084653	57.877516
34.26615	63.889384
33.9634	47.3198
34.290486	62.227177
34.1002	59.91757
34.3814	44.6419
34.3717	37.6356
34.50426903	1.156746978
34.5	49.6
34.771076	64.528106
34.9871	48.4419
35	48.5
35.0044	50.7357
35.1245	58.4663
35.4742	60.9923
35.36	46.86
35.38	45.03
35.381182	51.763403
35.414	49.3158
35.670437	33.74181
35.859626	37.667739
35.88	39.66
35.917597	56.858721
35.92	41.58
35.94941	35.1511
36.1	53
36.2	-2.873888889
36.126405	36.465582
36.21	41.28
36.29	54.55
36.349053	-1.177022
36.3755	49.7321
36.49	40.63
37.332558	-3.125315
36.935	57.841
37.083275	47.321337
37.412351	-0.199729
37.413821	57.347033
37.67	55.88
37.6413	49.694
37.836947	10.63850102
38.112051	13.271418
37.9	59.1
38.114107	63.917408
38.27815	-4.73935
39.2	51.7
38.821358	57.928754
38.910391	61.51246
39.022	55.264
39.05	15.33333333
39.365208	7.839456
39.214329	15.123009
39.90304599	6.876346981
39.550484	9.423678
39.493103	40.467846
39.527819	12.973255
39.6	47.2
39.61	39.64
39.712164	54.609817
39.852733	57.582507
39.899359	59.218067
40.1	50.5
40.092744	58.081856
40.182208	55.047301
40.26	48.7
40.3	56.2
40.31111	21.092951
40.335	21.63
40.4818	51.6215
40.65554	59.87067
40.8164	57.6378
41.291045	56.830338
41.442308	52.723585
41.4	52.8
41.487	58.2746
41.612371	51.111151
41.63055	55.332642
41.66	41.21
41.9	45.1
42.099103	61.063764
42.183616	18.943381
42.19	49.86
42.2394	38.6425
42.595169	40.331921
42.677089	11.755439
42.753008	59.974486
42.903128	62.102759
43.4767	41.7942
43.561653	56.646306
43.693029	49.083185
43.8	56.5
44.8203	40.1408
44.550613	48.511847
44.669279	42.99223
44.7167	40.2856
45.7	53.3
45.0382	40.0691
45.4777	41.9185
45.885693	51.566831
46.2831	41.8296
46.37	41.24
46.6	53.1
46.920111	61.33121
47	54.2
47.27	52.05
48.2	50.5
48.039647	52.496784
48.06	46.36
48.4	54.3
48.56	38.9786
48.731	55.9031
48.7992	38.6536
49.128857	55.694149
48.887098	10.981876
49.666041	58.606125
50.2	53.2
50.3175	33.2657
51.259407	56.254558
51.4	51.2
52.127025	57.331664
52.261325	52.773282
52.79	53.11
52.995895	56.561423
53.107905	36.810287
53.571632	61.816438
54.441475	36.843513
55.100454	51.766648
56.164526	54.231218
56.3	58
56.9	49
57.2	50.3
57.444748	53.166059
58.5	48.6
59.22	53.88
60.878896	54.431942
60.22	55.27
63.6	53.2
63.9	53.3
64.455567	39.768085
65.350201	55.46187
66.9	51.3
67.002423	34.3408
67.3	51.9
67.6	51.1
68.32	58.17
68.4	38.87
68.7841	55.2454
68.810936	38.743401
68.969721	35.464298
69.2997	39.2013
69.4	53.3
69.762591	41.649291
71.1	35
70.276	53.076
70.4218	35.9286
70.758001	38.595446
72.15	48.3
71.4	51.4
71.533224	38.02436
72	37.24
71.722957	35.497749
71.758056	42.893481
72.2341	39.188
72.430941	34.80895
72.512122	37.655164
73.3	49.7
72.787704	48.235643
72.9	38.3
73.289432	39.841844
73.3	55
73.531291	34.786658
74.008977	42.603447
74.822539	35.730169
74.569316	42.87452
74.798177	34.032583
75	49.6
75.688771	34.488596
